nid,id,name,organism,ncbi_taxonomy.name,description,resource_markdown
22611,ENSG00000249931,GOLGA8K,2,Homo sapiens,golgin A8 family member K [Source:HGNC Symbol;Acc:HGNC:38652],
642,ENSG00000101846,STS,2,Homo sapiens,steroid sulfatase [Source:HGNC Symbol;Acc:HGNC:11425],
12416,ENSG00000145241,CENPC,2,Homo sapiens,centromere protein C [Source:HGNC Symbol;Acc:HGNC:1854],
12634,ENSG00000146859,TMEM140,2,Homo sapiens,transmembrane protein 140 [Source:HGNC Symbol;Acc:HGNC:21870],
21993,ENSG00000224916,APOC4-APOC2,2,Homo sapiens,APOC4-APOC2 readthrough (NMD candidate) [Source:HGNC Symbol;Acc:HGNC:44426],
6148,ENSG00000100429,HDAC10,2,Homo sapiens,histone deacetylase 10 [Source:HGNC Symbol;Acc:HGNC:18128],
19718,ENSG00000188211,NCR3LG1,2,Homo sapiens,natural killer cell cytotoxicity receptor 3 ligand 1 [Source:HGNC Symbol;Acc:HGNC:42400],
18683,ENSG00000183214,MICA,2,Homo sapiens,MHC class I polypeptide-related sequence A [Source:HGNC Symbol;Acc:HGNC:7090],
22911,ENSG00000260802,SERTM2,2,Homo sapiens,serine rich and transmembrane domain containing 2 [Source:HGNC Symbol;Acc:HGNC:48576],
7294,ENSG00000107874,CUEDC2,2,Homo sapiens,CUE domain containing 2 [Source:HGNC Symbol;Acc:HGNC:28352],
19375,ENSG00000186462,NAP1L2,2,Homo sapiens,nucleosome assembly protein 1 like 2 [Source:HGNC Symbol;Acc:HGNC:7638],
10024,ENSG00000130311,DDA1,2,Homo sapiens,DET1 and DDB1 associated 1 [Source:HGNC Symbol;Acc:HGNC:28360],
16516,ENSG00000170779,CDCA4,2,Homo sapiens,cell division cycle associated 4 [Source:HGNC Symbol;Acc:HGNC:14625],
3645,ENSG00000256053,COA8,2,Homo sapiens,cytochrome c oxidase assembly factor 8 [Source:HGNC Symbol;Acc:HGNC:20492],
22901,ENSG00000260286,ARMH2,2,Homo sapiens,armadillo like helical domain containing 2 [Source:HGNC Symbol;Acc:HGNC:49394],
20892,ENSG00000204006,C1orf185,2,Homo sapiens,chromosome 1 open reading frame 185 [Source:HGNC Symbol;Acc:HGNC:28096],
19920,ENSG00000189152,GRAPL,2,Homo sapiens,GRB2 related adaptor protein like [Source:HGNC Symbol;Acc:HGNC:37240],
8867,ENSG00000120440,TTLL2,2,Homo sapiens,tubulin tyrosine ligase like 2 [Source:HGNC Symbol;Acc:HGNC:21211],
15364,ENSG00000165816,VWA2,2,Homo sapiens,von Willebrand factor A domain containing 2 [Source:HGNC Symbol;Acc:HGNC:24709],
10096,ENSG00000130720,FIBCD1,2,Homo sapiens,fibrinogen C domain containing 1 [Source:HGNC Symbol;Acc:HGNC:25922],
14053,ENSG00000159398,CES5A,2,Homo sapiens,carboxylesterase 5A [Source:HGNC Symbol;Acc:HGNC:26459],
13119,ENSG00000151338,MIPOL1,2,Homo sapiens,mirror-image polydactyly 1 [Source:HGNC Symbol;Acc:HGNC:21460],
23107,ENSG00000271449,CT45A2,2,Homo sapiens,cancer/testis antigen family 45 member A2 [Source:HGNC Symbol;Acc:HGNC:28400],
17967,ENSG00000178764,ZHX2,2,Homo sapiens,zinc fingers and homeoboxes 2 [Source:HGNC Symbol;Acc:HGNC:18513],
22927,ENSG00000261509,TP53TG3B,2,Homo sapiens,TP53 target 3B [Source:HGNC Symbol;Acc:HGNC:37202],
8971,ENSG00000121377,TAS2R7,2,Homo sapiens,taste 2 receptor member 7 [Source:HGNC Symbol;Acc:HGNC:14913],
30909,ENSG00000276023,DUSP14,2,Homo sapiens,dual specificity phosphatase 14 [Source:HGNC Symbol;Acc:HGNC:17007],
6850,ENSG00000104969,SGTA,2,Homo sapiens,small glutamine rich tetratricopeptide repeat containing alpha [Source:HGNC Symbol;Acc:HGNC:10819],
18393,ENSG00000181698,OR5T1,2,Homo sapiens,olfactory receptor family 5 subfamily T member 1 [Source:HGNC Symbol;Acc:HGNC:14821],
21040,ENSG00000204577,LILRB3,2,Homo sapiens,leukocyte immunoglobulin like receptor B3 [Source:HGNC Symbol;Acc:HGNC:6607],
12407,ENSG00000145147,SLIT2,2,Homo sapiens,slit guidance ligand 2 [Source:HGNC Symbol;Acc:HGNC:11086],
11938,ENSG00000141965,FEM1A,2,Homo sapiens,fem-1 homolog A [Source:HGNC Symbol;Acc:HGNC:16934],
21856,ENSG00000215910,C1orf167,2,Homo sapiens,chromosome 1 open reading frame 167 [Source:HGNC Symbol;Acc:HGNC:25262],
8479,ENSG00000117009,KMO,2,Homo sapiens,kynurenine 3-monooxygenase [Source:HGNC Symbol;Acc:HGNC:6381],
20227,ENSG00000196950,SLC39A10,2,Homo sapiens,solute carrier family 39 member 10 [Source:HGNC Symbol;Acc:HGNC:20861],
2312,ENSG00000162438,CTRC,2,Homo sapiens,chymotrypsin C [Source:HGNC Symbol;Acc:HGNC:2523],
15333,ENSG00000165689,ENTR1,2,Homo sapiens,endosome associated trafficking regulator 1 [Source:HGNC Symbol;Acc:HGNC:10667],
13219,ENSG00000152102,FAM168B,2,Homo sapiens,family with sequence similarity 168 member B [Source:HGNC Symbol;Acc:HGNC:27016],
15355,ENSG00000165799,RNASE7,2,Homo sapiens,ribonuclease A family member 7 [Source:HGNC Symbol;Acc:HGNC:19278],
16747,ENSG00000171772,SYCE1,2,Homo sapiens,synaptonemal complex central element protein 1 [Source:HGNC Symbol;Acc:HGNC:28852],
2943,ENSG00000180772,AGTR2,2,Homo sapiens,angiotensin II receptor type 2 [Source:HGNC Symbol;Acc:HGNC:338],
23028,ENSG00000268089,GABRQ,2,Homo sapiens,gamma-aminobutyric acid type A receptor subunit theta [Source:HGNC Symbol;Acc:HGNC:14454],
9342,ENSG00000124562,SNRPC,2,Homo sapiens,small nuclear ribonucleoprotein polypeptide C [Source:HGNC Symbol;Acc:HGNC:11157],
1783,ENSG00000140416,TPM1,2,Homo sapiens,tropomyosin 1 [Source:HGNC Symbol;Acc:HGNC:12010],
7490,ENSG00000109452,INPP4B,2,Homo sapiens,inositol polyphosphate-4-phosphatase type II B [Source:HGNC Symbol;Acc:HGNC:6075],
6968,ENSG00000105556,MIER2,2,Homo sapiens,MIER family member 2 [Source:HGNC Symbol;Acc:HGNC:29210],
16898,ENSG00000172380,GNG12,2,Homo sapiens,G protein subunit gamma 12 [Source:HGNC Symbol;Acc:HGNC:19663],
7917,ENSG00000112659,CUL9,2,Homo sapiens,cullin 9 [Source:HGNC Symbol;Acc:HGNC:15982],
3744,ENSG00000277154,ENSG00000277154,2,Homo sapiens,pre-mRNA processing factor 31 [Source:NCBI gene (formerly Entrezgene);Acc:26121],
6564,ENSG00000102910,LONP2,2,Homo sapiens,"lon peptidase 2, peroxisomal [Source:HGNC Symbol;Acc:HGNC:20598]",
11696,ENSG00000140299,BNIP2,2,Homo sapiens,BCL2 interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:1083],
7896,ENSG00000112499,SLC22A2,2,Homo sapiens,solute carrier family 22 member 2 [Source:HGNC Symbol;Acc:HGNC:10966],
10036,ENSG00000130382,MLLT1,2,Homo sapiens,MLLT1 super elongation complex subunit [Source:HGNC Symbol;Acc:HGNC:7134],
544,ENSG00000100033,PRODH,2,Homo sapiens,proline dehydrogenase 1 [Source:HGNC Symbol;Acc:HGNC:9453],
6194,ENSG00000100604,CHGA,2,Homo sapiens,chromogranin A [Source:HGNC Symbol;Acc:HGNC:1929],
2163,ENSG00000155980,KIF5A,2,Homo sapiens,kinesin family member 5A [Source:HGNC Symbol;Acc:HGNC:6323],
10027,ENSG00000130332,LSM7,2,Homo sapiens,"LSM7 homolog, U6 small nuclear RNA and mRNA degradation associated [Source:HGNC Symbol;Acc:HGNC:20470]",
14404,ENSG00000162366,PDZK1IP1,2,Homo sapiens,PDZK1 interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:16887],
7730,ENSG00000111554,MDM1,2,Homo sapiens,Mdm1 nuclear protein [Source:HGNC Symbol;Acc:HGNC:29917],
6516,ENSG00000102471,NDFIP2,2,Homo sapiens,Nedd4 family interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:18537],
606,ENSG00000100983,GSS,2,Homo sapiens,glutathione synthetase [Source:HGNC Symbol;Acc:HGNC:4624],
13986,ENSG00000158865,SLC5A11,2,Homo sapiens,solute carrier family 5 member 11 [Source:HGNC Symbol;Acc:HGNC:23091],
18704,ENSG00000183313,OR52L1,2,Homo sapiens,olfactory receptor family 52 subfamily L member 1 [Source:HGNC Symbol;Acc:HGNC:14785],
16693,ENSG00000171502,COL24A1,2,Homo sapiens,collagen type XXIV alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:20821],
14288,ENSG00000161217,PCYT1A,2,Homo sapiens,"phosphate cytidylyltransferase 1, choline, alpha [Source:HGNC Symbol;Acc:HGNC:8754]",
6193,ENSG00000100603,SNW1,2,Homo sapiens,SNW domain containing 1 [Source:HGNC Symbol;Acc:HGNC:16696],
9213,ENSG00000123594,ATXN3L,2,Homo sapiens,ataxin 3 like [Source:HGNC Symbol;Acc:HGNC:24173],
21936,ENSG00000221983,UBA52,2,Homo sapiens,ubiquitin A-52 residue ribosomal protein fusion product 1 [Source:HGNC Symbol;Acc:HGNC:12458],
13347,ENSG00000153113,CAST,2,Homo sapiens,calpastatin [Source:HGNC Symbol;Acc:HGNC:1515],
14554,ENSG00000162909,CAPN2,2,Homo sapiens,calpain 2 [Source:HGNC Symbol;Acc:HGNC:1479],
17570,ENSG00000176231,OR10H4,2,Homo sapiens,olfactory receptor family 10 subfamily H member 4 [Source:HGNC Symbol;Acc:HGNC:15388],
19462,ENSG00000186907,RTN4RL2,2,Homo sapiens,reticulon 4 receptor like 2 [Source:HGNC Symbol;Acc:HGNC:23053],
8170,ENSG00000114942,EEF1B2,2,Homo sapiens,eukaryotic translation elongation factor 1 beta 2 [Source:HGNC Symbol;Acc:HGNC:3208],
4421,ENSG00000040341,STAU2,2,Homo sapiens,staufen double-stranded RNA binding protein 2 [Source:HGNC Symbol;Acc:HGNC:11371],
23378,ENSG00000280267,PRAMEF26,2,Homo sapiens,PRAME family member 26 [Source:HGNC Symbol;Acc:HGNC:49178],
19614,ENSG00000187736,NHEJ1,2,Homo sapiens,non-homologous end joining factor 1 [Source:HGNC Symbol;Acc:HGNC:25737],
20922,ENSG00000204161,TMEM273,2,Homo sapiens,transmembrane protein 273 [Source:HGNC Symbol;Acc:HGNC:27274],
5176,ENSG00000075886,TUBA3D,2,Homo sapiens,tubulin alpha 3d [Source:HGNC Symbol;Acc:HGNC:24071],
4514,ENSG00000049283,EPN3,2,Homo sapiens,epsin 3 [Source:HGNC Symbol;Acc:HGNC:18235],
6167,ENSG00000100505,TRIM9,2,Homo sapiens,tripartite motif containing 9 [Source:HGNC Symbol;Acc:HGNC:16288],
22945,ENSG00000262152,LINC00514,2,Homo sapiens,long intergenic non-protein coding RNA 514 [Source:HGNC Symbol;Acc:HGNC:27549],
5807,ENSG00000092199,HNRNPC,2,Homo sapiens,heterogeneous nuclear ribonucleoprotein C [Source:HGNC Symbol;Acc:HGNC:5035],
14110,ENSG00000160007,ARHGAP35,2,Homo sapiens,Rho GTPase activating protein 35 [Source:HGNC Symbol;Acc:HGNC:4591],
13718,ENSG00000156564,LRFN2,2,Homo sapiens,leucine rich repeat and fibronectin type III domain containing 2 [Source:HGNC Symbol;Acc:HGNC:21226],
6739,ENSG00000104332,SFRP1,2,Homo sapiens,secreted frizzled related protein 1 [Source:HGNC Symbol;Acc:HGNC:10776],
16237,ENSG00000169474,SPRR1A,2,Homo sapiens,small proline rich protein 1A [Source:HGNC Symbol;Acc:HGNC:11259],
15652,ENSG00000166963,MAP1A,2,Homo sapiens,microtubule associated protein 1A [Source:HGNC Symbol;Acc:HGNC:6835],
14423,ENSG00000162413,KLHL21,2,Homo sapiens,kelch like family member 21 [Source:HGNC Symbol;Acc:HGNC:29041],
16530,ENSG00000170837,GPR27,2,Homo sapiens,G protein-coupled receptor 27 [Source:HGNC Symbol;Acc:HGNC:4482],
10423,ENSG00000132801,ZSWIM3,2,Homo sapiens,zinc finger SWIM-type containing 3 [Source:HGNC Symbol;Acc:HGNC:16157],
9610,ENSG00000126461,SCAF1,2,Homo sapiens,SR-related CTD associated factor 1 [Source:HGNC Symbol;Acc:HGNC:30403],
9061,ENSG00000122299,ZC3H7A,2,Homo sapiens,zinc finger CCCH-type containing 7A [Source:HGNC Symbol;Acc:HGNC:30959],
14337,ENSG00000161847,RAVER1,2,Homo sapiens,"ribonucleoprotein, PTB binding 1 [Source:HGNC Symbol;Acc:HGNC:30296]",
7389,ENSG00000108639,SYNGR2,2,Homo sapiens,synaptogyrin 2 [Source:HGNC Symbol;Acc:HGNC:11499],
2982,ENSG00000182568,SATB1,2,Homo sapiens,SATB homeobox 1 [Source:HGNC Symbol;Acc:HGNC:10541],
22995,ENSG00000266028,SRGAP2,2,Homo sapiens,SLIT-ROBO Rho GTPase activating protein 2 [Source:HGNC Symbol;Acc:HGNC:19751],
6487,ENSG00000102239,BRS3,2,Homo sapiens,bombesin receptor subtype 3 [Source:HGNC Symbol;Acc:HGNC:1113],
11763,ENSG00000140682,TGFB1I1,2,Homo sapiens,transforming growth factor beta 1 induced transcript 1 [Source:HGNC Symbol;Acc:HGNC:11767],
18670,ENSG00000183150,GPR19,2,Homo sapiens,G protein-coupled receptor 19 [Source:HGNC Symbol;Acc:HGNC:4473],
16955,ENSG00000172673,THEMIS,2,Homo sapiens,thymocyte selection associated [Source:HGNC Symbol;Acc:HGNC:21569],
2907,ENSG00000178568,ERBB4,2,Homo sapiens,erb-b2 receptor tyrosine kinase 4 [Source:HGNC Symbol;Acc:HGNC:3432],
14657,ENSG00000163322,ABRAXAS1,2,Homo sapiens,"abraxas 1, BRCA1 A complex subunit [Source:HGNC Symbol;Acc:HGNC:25829]",
16146,ENSG00000169067,ACTBL2,2,Homo sapiens,actin beta like 2 [Source:HGNC Symbol;Acc:HGNC:17780],
17398,ENSG00000175197,DDIT3,2,Homo sapiens,DNA damage inducible transcript 3 [Source:HGNC Symbol;Acc:HGNC:2726],
5501,ENSG00000085433,WDR47,2,Homo sapiens,WD repeat domain 47 [Source:HGNC Symbol;Acc:HGNC:29141],
16080,ENSG00000168795,ZBTB5,2,Homo sapiens,zinc finger and BTB domain containing 5 [Source:HGNC Symbol;Acc:HGNC:23836],
16159,ENSG00000169129,AFAP1L2,2,Homo sapiens,actin filament associated protein 1 like 2 [Source:HGNC Symbol;Acc:HGNC:25901],
19910,ENSG00000189108,IL1RAPL2,2,Homo sapiens,interleukin 1 receptor accessory protein like 2 [Source:HGNC Symbol;Acc:HGNC:5997],
12442,ENSG00000145390,USP53,2,Homo sapiens,ubiquitin specific peptidase 53 [Source:HGNC Symbol;Acc:HGNC:29255],
1799,ENSG00000140691,ARMC5,2,Homo sapiens,armadillo repeat containing 5 [Source:HGNC Symbol;Acc:HGNC:25781],
15884,ENSG00000167965,MLST8,2,Homo sapiens,"MTOR associated protein, LST8 homolog [Source:HGNC Symbol;Acc:HGNC:24825]",
15448,ENSG00000166170,BAG5,2,Homo sapiens,BAG cochaperone 5 [Source:HGNC Symbol;Acc:HGNC:941],
11852,ENSG00000141391,PRELID3A,2,Homo sapiens,PRELI domain containing 3A [Source:HGNC Symbol;Acc:HGNC:24639],
2124,ENSG00000153956,CACNA2D1,2,Homo sapiens,calcium voltage-gated channel auxiliary subunit alpha2delta 1 [Source:HGNC Symbol;Acc:HGNC:1399],
16424,ENSG00000170348,TMED10,2,Homo sapiens,transmembrane p24 trafficking protein 10 [Source:HGNC Symbol;Acc:HGNC:16998],
18208,ENSG00000180353,HCLS1,2,Homo sapiens,hematopoietic cell-specific Lyn substrate 1 [Source:HGNC Symbol;Acc:HGNC:4844],
17827,ENSG00000177732,SOX12,2,Homo sapiens,SRY-box transcription factor 12 [Source:HGNC Symbol;Acc:HGNC:11198],
21778,ENSG00000214827,MTCP1,2,Homo sapiens,mature T cell proliferation 1 [Source:HGNC Symbol;Acc:HGNC:7423],
13095,ENSG00000151117,TMEM86A,2,Homo sapiens,transmembrane protein 86A [Source:HGNC Symbol;Acc:HGNC:26890],
19095,ENSG00000185201,IFITM2,2,Homo sapiens,interferon induced transmembrane protein 2 [Source:HGNC Symbol;Acc:HGNC:5413],
21137,ENSG00000205078,SYCE1L,2,Homo sapiens,synaptonemal complex central element protein 1 like [Source:HGNC Symbol;Acc:HGNC:37236],
13948,ENSG00000158560,DYNC1I1,2,Homo sapiens,dynein cytoplasmic 1 intermediate chain 1 [Source:HGNC Symbol;Acc:HGNC:2963],
2841,ENSG00000175707,KDF1,2,Homo sapiens,keratinocyte differentiation factor 1 [Source:HGNC Symbol;Acc:HGNC:26624],
1894,ENSG00000143631,FLG,2,Homo sapiens,filaggrin [Source:HGNC Symbol;Acc:HGNC:3748],
16460,ENSG00000170477,KRT4,2,Homo sapiens,keratin 4 [Source:HGNC Symbol;Acc:HGNC:6441],
3170,ENSG00000189420,ZFP92,2,Homo sapiens,ZFP92 zinc finger protein [Source:HGNC Symbol;Acc:HGNC:12865],
961,ENSG00000111725,PRKAB1,2,Homo sapiens,protein kinase AMP-activated non-catalytic subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:9378],
269,ENSG00000067715,SYT1,2,Homo sapiens,synaptotagmin 1 [Source:HGNC Symbol;Acc:HGNC:11509],
7927,ENSG00000112739,PRPF4B,2,Homo sapiens,pre-mRNA processing factor 4B [Source:HGNC Symbol;Acc:HGNC:17346],
3507,ENSG00000229741,BTNL2,2,Homo sapiens,butyrophilin like 2 [Source:HGNC Symbol;Acc:HGNC:1142],
21447,ENSG00000211772,TRBC2,2,Homo sapiens,T cell receptor beta constant 2 [Source:HGNC Symbol;Acc:HGNC:12157],
18095,ENSG00000179580,RNF151,2,Homo sapiens,ring finger protein 151 [Source:HGNC Symbol;Acc:HGNC:23235],
14519,ENSG00000162757,C1orf74,2,Homo sapiens,chromosome 1 open reading frame 74 [Source:HGNC Symbol;Acc:HGNC:26319],
17519,ENSG00000175920,DOK7,2,Homo sapiens,docking protein 7 [Source:HGNC Symbol;Acc:HGNC:26594],
8134,ENSG00000114650,SCAP,2,Homo sapiens,SREBF chaperone [Source:HGNC Symbol;Acc:HGNC:30634],
10088,ENSG00000130702,LAMA5,2,Homo sapiens,laminin subunit alpha 5 [Source:HGNC Symbol;Acc:HGNC:6485],
3818,ENSG00000283681,TCF20,2,Homo sapiens,transcription factor 20 [Source:HGNC Symbol;Acc:HGNC:11631],
11734,ENSG00000140497,SCAMP2,2,Homo sapiens,secretory carrier membrane protein 2 [Source:HGNC Symbol;Acc:HGNC:10564],
13873,ENSG00000157992,KRTCAP3,2,Homo sapiens,keratinocyte associated protein 3 [Source:HGNC Symbol;Acc:HGNC:28943],
8280,ENSG00000115592,PRKAG3,2,Homo sapiens,protein kinase AMP-activated non-catalytic subunit gamma 3 [Source:HGNC Symbol;Acc:HGNC:9387],
9668,ENSG00000127054,INTS11,2,Homo sapiens,integrator complex subunit 11 [Source:HGNC Symbol;Acc:HGNC:26052],
18948,ENSG00000184492,FOXD4L1,2,Homo sapiens,forkhead box D4 like 1 [Source:HGNC Symbol;Acc:HGNC:18521],
17721,ENSG00000177151,OR2T35,2,Homo sapiens,olfactory receptor family 2 subfamily T member 35 [Source:HGNC Symbol;Acc:HGNC:31257],
8878,ENSG00000120539,MASTL,2,Homo sapiens,microtubule associated serine/threonine kinase like [Source:HGNC Symbol;Acc:HGNC:19042],
23351,ENSG00000279169,PRAMEF13,2,Homo sapiens,PRAME family member 13 [Source:HGNC Symbol;Acc:HGNC:13262],
1444,ENSG00000130741,EIF2S3,2,Homo sapiens,eukaryotic translation initiation factor 2 subunit gamma [Source:HGNC Symbol;Acc:HGNC:3267],
7759,ENSG00000111704,NANOG,2,Homo sapiens,Nanog homeobox [Source:HGNC Symbol;Acc:HGNC:20857],
5096,ENSG00000073921,PICALM,2,Homo sapiens,phosphatidylinositol binding clathrin assembly protein [Source:HGNC Symbol;Acc:HGNC:15514],
10888,ENSG00000135702,CHST5,2,Homo sapiens,carbohydrate sulfotransferase 5 [Source:HGNC Symbol;Acc:HGNC:1973],
20686,ENSG00000198720,ANKRD13B,2,Homo sapiens,ankyrin repeat domain 13B [Source:HGNC Symbol;Acc:HGNC:26363],
19754,ENSG00000188379,IFNA2,2,Homo sapiens,interferon alpha 2 [Source:HGNC Symbol;Acc:HGNC:5423],
14708,ENSG00000163501,IHH,2,Homo sapiens,Indian hedgehog signaling molecule [Source:HGNC Symbol;Acc:HGNC:5956],
9733,ENSG00000127774,EMC6,2,Homo sapiens,ER membrane protein complex subunit 6 [Source:HGNC Symbol;Acc:HGNC:28430],
18657,ENSG00000183087,GAS6,2,Homo sapiens,growth arrest specific 6 [Source:HGNC Symbol;Acc:HGNC:4168],
14378,ENSG00000162078,ZG16B,2,Homo sapiens,zymogen granule protein 16B [Source:HGNC Symbol;Acc:HGNC:30456],
23144,ENSG00000273559,CWC25,2,Homo sapiens,CWC25 spliceosome associated protein homolog [Source:HGNC Symbol;Acc:HGNC:25989],
18682,ENSG00000183208,GDPGP1,2,Homo sapiens,GDP-D-glucose phosphorylase 1 [Source:HGNC Symbol;Acc:HGNC:34360],
22724,ENSG00000254772,EEF1G,2,Homo sapiens,eukaryotic translation elongation factor 1 gamma [Source:HGNC Symbol;Acc:HGNC:3213],
20364,ENSG00000197498,RPF2,2,Homo sapiens,ribosome production factor 2 homolog [Source:HGNC Symbol;Acc:HGNC:20870],
14095,ENSG00000159792,PSKH1,2,Homo sapiens,protein serine kinase H1 [Source:HGNC Symbol;Acc:HGNC:9529],
15068,ENSG00000164604,GPR85,2,Homo sapiens,G protein-coupled receptor 85 [Source:HGNC Symbol;Acc:HGNC:4536],
9663,ENSG00000126947,ARMCX1,2,Homo sapiens,armadillo repeat containing X-linked 1 [Source:HGNC Symbol;Acc:HGNC:18073],
14891,ENSG00000164038,SLC9B2,2,Homo sapiens,solute carrier family 9 member B2 [Source:HGNC Symbol;Acc:HGNC:25143],
16613,ENSG00000171174,RBKS,2,Homo sapiens,ribokinase [Source:HGNC Symbol;Acc:HGNC:30325],
21591,ENSG00000213023,SYT3,2,Homo sapiens,synaptotagmin 3 [Source:HGNC Symbol;Acc:HGNC:11511],
19481,ENSG00000186980,KRTAP23-1,2,Homo sapiens,keratin associated protein 23-1 [Source:HGNC Symbol;Acc:HGNC:18928],
3453,ENSG00000223865,HLA-DPB1,2,Homo sapiens,"major histocompatibility complex, class II, DP beta 1 [Source:HGNC Symbol;Acc:HGNC:4940]",
2826,ENSG00000175220,ARHGAP1,2,Homo sapiens,Rho GTPase activating protein 1 [Source:HGNC Symbol;Acc:HGNC:673],
20372,ENSG00000197555,SIPA1L1,2,Homo sapiens,signal induced proliferation associated 1 like 1 [Source:HGNC Symbol;Acc:HGNC:20284],
16970,ENSG00000172752,COL6A5,2,Homo sapiens,collagen type VI alpha 5 chain [Source:HGNC Symbol;Acc:HGNC:26674],
14909,ENSG00000164074,ABHD18,2,Homo sapiens,abhydrolase domain containing 18 [Source:HGNC Symbol;Acc:HGNC:26111],
1028,ENSG00000113594,LIFR,2,Homo sapiens,LIF receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:6597],
19609,ENSG00000187720,THSD4,2,Homo sapiens,thrombospondin type 1 domain containing 4 [Source:HGNC Symbol;Acc:HGNC:25835],
3457,ENSG00000224156,TUBB,2,Homo sapiens,tubulin beta class I [Source:HGNC Symbol;Acc:HGNC:20778],
13609,ENSG00000155719,OTOA,2,Homo sapiens,otoancorin [Source:HGNC Symbol;Acc:HGNC:16378],
7451,ENSG00000109079,TNFAIP1,2,Homo sapiens,TNF alpha induced protein 1 [Source:HGNC Symbol;Acc:HGNC:11894],
96,ENSG00000015285,WAS,2,Homo sapiens,WASP actin nucleation promoting factor [Source:HGNC Symbol;Acc:HGNC:12731],
21514,ENSG00000211911,IGHD3-22,2,Homo sapiens,immunoglobulin heavy diversity 3-22 [Source:HGNC Symbol;Acc:HGNC:5497],
1039,ENSG00000114054,PCCB,2,Homo sapiens,propionyl-CoA carboxylase subunit beta [Source:HGNC Symbol;Acc:HGNC:8654],
12862,ENSG00000148702,HABP2,2,Homo sapiens,hyaluronan binding protein 2 [Source:HGNC Symbol;Acc:HGNC:4798],
11224,ENSG00000137414,FAM8A1,2,Homo sapiens,family with sequence similarity 8 member A1 [Source:HGNC Symbol;Acc:HGNC:16372],
3473,ENSG00000226201,PSMB8,2,Homo sapiens,proteasome 20S subunit beta 8 [Source:HGNC Symbol;Acc:HGNC:9545],
13550,ENSG00000155026,RSPH10B,2,Homo sapiens,radial spoke head 10 homolog B [Source:HGNC Symbol;Acc:HGNC:27362],
8835,ENSG00000120211,INSL4,2,Homo sapiens,insulin like 4 [Source:HGNC Symbol;Acc:HGNC:6087],
16995,ENSG00000172850,LSM2,2,Homo sapiens,"LSM2 homolog, U6 small nuclear RNA and mRNA degradation associated [Source:HGNC Symbol;Acc:HGNC:13940]",
11884,ENSG00000141526,SLC16A3,2,Homo sapiens,solute carrier family 16 member 3 [Source:HGNC Symbol;Acc:HGNC:10924],
7492,ENSG00000109466,KLHL2,2,Homo sapiens,kelch like family member 2 [Source:HGNC Symbol;Acc:HGNC:6353],
22821,ENSG00000257057,C11orf97,2,Homo sapiens,chromosome 11 open reading frame 97 [Source:HGNC Symbol;Acc:HGNC:49544],
5968,ENSG00000099849,RASSF7,2,Homo sapiens,Ras association domain family member 7 [Source:HGNC Symbol;Acc:HGNC:1166],
3509,ENSG00000230034,PSMB8,2,Homo sapiens,proteasome 20S subunit beta 8 [Source:HGNC Symbol;Acc:HGNC:9545],
15654,ENSG00000166971,AKTIP,2,Homo sapiens,AKT interacting protein [Source:HGNC Symbol;Acc:HGNC:16710],
18392,ENSG00000181693,OR8H1,2,Homo sapiens,olfactory receptor family 8 subfamily H member 1 [Source:HGNC Symbol;Acc:HGNC:14824],
12557,ENSG00000146215,CRIP3,2,Homo sapiens,cysteine rich protein 3 [Source:HGNC Symbol;Acc:HGNC:17751],
1432,ENSG00000130561,SAG,2,Homo sapiens,S-antigen visual arrestin [Source:HGNC Symbol;Acc:HGNC:10521],
17981,ENSG00000178852,EFCAB13,2,Homo sapiens,EF-hand calcium binding domain 13 [Source:HGNC Symbol;Acc:HGNC:26864],
8399,ENSG00000116497,S100PBP,2,Homo sapiens,S100P binding protein [Source:HGNC Symbol;Acc:HGNC:25768],
8715,ENSG00000119402,FBXW2,2,Homo sapiens,F-box and WD repeat domain containing 2 [Source:HGNC Symbol;Acc:HGNC:13608],
9879,ENSG00000129071,MBD4,2,Homo sapiens,"methyl-CpG binding domain 4, DNA glycosylase [Source:HGNC Symbol;Acc:HGNC:6919]",
1919,ENSG00000144381,HSPD1,2,Homo sapiens,heat shock protein family D (Hsp60) member 1 [Source:HGNC Symbol;Acc:HGNC:5261],
13895,ENSG00000158156,XKR8,2,Homo sapiens,XK related 8 [Source:HGNC Symbol;Acc:HGNC:25508],
9566,ENSG00000126001,CEP250,2,Homo sapiens,centrosomal protein 250 [Source:HGNC Symbol;Acc:HGNC:1859],
20530,ENSG00000198104,OR2T6,2,Homo sapiens,olfactory receptor family 2 subfamily T member 6 [Source:HGNC Symbol;Acc:HGNC:15018],
4333,ENSG00000029559,IBSP,2,Homo sapiens,integrin binding sialoprotein [Source:HGNC Symbol;Acc:HGNC:5341],
16227,ENSG00000169418,NPR1,2,Homo sapiens,natriuretic peptide receptor 1 [Source:HGNC Symbol;Acc:HGNC:7943],
538,ENSG00000099949,LZTR1,2,Homo sapiens,leucine zipper like transcription regulator 1 [Source:HGNC Symbol;Acc:HGNC:6742],
